cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end JMP 68 __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end 
cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end CPU-waitstate
cmpavr1.o 0x0000: ,.comment,.debug_aranges,.debug_info,.debug_abbrev,.debug_line,.debug_frame,.debug_str,.debug_loc,cmp.c,__tmp_reg__,__zero_reg__,_exit.o,,__vectors,__vector_default,__heap_end CPU-waitstate
cmpavr1.o 0x0068: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end EOR R1, R1 SREG=[------Z-] 
cmpavr1.o 0x006a: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x1 OUT 0x3f, R1 
cmpavr1.o 0x006c: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x2 LDI R28, 0xff 
cmpavr1.o 0x006e: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x3 LDI R29, 0x08 
cmpavr1.o 0x0070: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x4 OUT 0x3e, R29 SP=0x800 
cmpavr1.o 0x0072: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x5 OUT 0x3d, R28 SP=0x8ff 
cmpavr1.o 0x0074: __do_copy_data                 LDI R17, 0x01 
cmpavr1.o 0x0076: __do_copy_data+0x1             LDI R26, 0x00 
cmpavr1.o 0x0078: __do_copy_data+0x2             LDI R27, 0x01 
cmpavr1.o 0x007a: __do_copy_data+0x3             LDI R30, 0xde 
cmpavr1.o 0x007c: __do_copy_data+0x4             LDI R31, 0x01 
cmpavr1.o 0x007e: __do_copy_data+0x5             RJMP 84 
cmpavr1.o 0x007e: __do_copy_data+0x5             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[--HS-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1de,.data,g_15.2055,__data_start] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0082: __do_copy_data+0x7             ST X+, R0 
cmpavr1.o 0x0082: __do_copy_data+0x7             CPU-waitstate
cmpavr1.o 0x0084: __do_copy_data+0x8             CPI R26, 0x12 SREG=[--HS-N-C] 
cmpavr1.o 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
cmpavr1.o 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_end+0x29         
cmpavr1.o 0x0088: __do_copy_data+0xa             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[1df,.data,g_15.2055,__data_start+0x1] 
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
cmpavr1.o 0x0080: __do_copy_data+0x6             CPU-waitstate
