yakovtest.elf 0x0000: ,.comment,yakovtest.c,__tmp_reg__,__zero_reg__,_exit.o,_clear_bss.o,,__vectors,__vector_default,__heap_end JMP 68 __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end 
yakovtest.elf 0x0000: ,.comment,yakovtest.c,__tmp_reg__,__zero_reg__,_exit.o,_clear_bss.o,,__vectors,__vector_default,__heap_end CPU-waitstate
yakovtest.elf 0x0000: ,.comment,yakovtest.c,__tmp_reg__,__zero_reg__,_exit.o,_clear_bss.o,,__vectors,__vector_default,__heap_end CPU-waitstate
yakovtest.elf 0x0068: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end EOR R1, R1 SREG=[------Z-] 
yakovtest.elf 0x006a: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x1 OUT 0x3f, R1 
yakovtest.elf 0x006c: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x2 LDI R28, 0xff 
yakovtest.elf 0x006e: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x3 LDI R29, 0x08 
yakovtest.elf 0x0070: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x4 OUT 0x3e, R29 SP=0x800 
yakovtest.elf 0x0072: __trampolines_start,__trampolines_end,__dtors_end,__init,__ctors_start,__dtors_start,__ctors_end+0x5 OUT 0x3d, R28 SP=0x8ff 
yakovtest.elf 0x0074: __do_copy_data                 LDI R17, 0x01 
yakovtest.elf 0x0076: __do_copy_data+0x1             LDI R26, 0x00 
yakovtest.elf 0x0078: __do_copy_data+0x2             LDI R27, 0x01 
yakovtest.elf 0x007a: __do_copy_data+0x3             LDI R30, 0x44 
yakovtest.elf 0x007c: __do_copy_data+0x4             LDI R31, 0x05 
yakovtest.elf 0x007e: __do_copy_data+0x5             RJMP 84 
yakovtest.elf 0x007e: __do_copy_data+0x5             CPU-waitstate
yakovtest.elf 0x0084: __do_copy_data+0x8             CPI R26, 0x38 SREG=[--HS-N-C] 
yakovtest.elf 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
yakovtest.elf 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_begin+0x4        
yakovtest.elf 0x0088: __do_copy_data+0xa             CPU-waitstate
yakovtest.elf 0x0080: __do_copy_data+0x6             LPM R0, Z+ FLASH[544,.data,crc32_context,__data_start] 
yakovtest.elf 0x0080: __do_copy_data+0x6             CPU-waitstate
yakovtest.elf 0x0080: __do_copy_data+0x6             CPU-waitstate
yakovtest.elf 0x0082: __do_copy_data+0x7             ST X+, R0 
yakovtest.elf 0x0082: __do_copy_data+0x7             CPU-waitstate
yakovtest.elf 0x0084: __do_copy_data+0x8             CPI R26, 0x38 SREG=[--HS-N-C] 
yakovtest.elf 0x0086: __do_copy_data+0x9             CPC R27, R17 SREG=[--HS-N-C] 
yakovtest.elf 0x0088: __do_copy_data+0xa             BRNE ->0xfff6 platform_main_begin+0x4        
yakovtest.elf 0x0088: __do_copy_data+0xa             CPU-waitstate
